CR Data,CR Hora,CR Tamanho,Dist MME,CA Hora,Contratos,Offset,TP,Pontos,Valor,Cod Status,Status
2021-11-01,09:15,165,68.7899999999936,09:35,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,09:15,150,633.2899999999936,09:20,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,09:15,200,0.0,09:25,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-05,09:15,290,85.58999999999651,09:30,1,50,100,-390,-78.0,1,Estopou
2021-11-08,09:15,305,267.50999999999476,09:20,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-09,09:15,140,114.88999999999942,09:30,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-10,09:15,260,399.9600000000064,09:25,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-11,09:15,290,546.1699999999983,09:25,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-12,09:15,245,0.0,09:25,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-16,09:15,220,0.0,09:30,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-17,09:15,275,0.0,09:45,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-18,09:15,200,50.429999999993015,09:20,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-19,09:15,375,0.0,09:25,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-22,09:15,260,53.0,10:05,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-23,09:15,230,0.0,09:30,1,50,100,-330,-66.0,1,Estopou
2021-11-24,09:15,260,0.0,09:30,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-25,09:15,400,50.2100000000064,09:45,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-26,09:15,250,1583.520000000004,10:00,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-29,09:15,225,914.1000000000058,09:45,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-30,09:15,165,417.8500000000058,09:25,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-02,09:15,205,302.6900000000023,09:50,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-03,09:15,350,0.0,09:30,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-04,09:15,820,0.0,10:00,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-05,09:15,170,914.2299999999959,09:20,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-06,09:15,115,0.0,09:20,1,50,100,100,20.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-09,09:15,160,282.4100000000035,10:00,1,50,100,-260,-52.0,1,Estopou
2021-08-10,09:15,125,126.44000000000233,09:35,1,50,100,-225,-45.0,1,Estopou
2021-08-11,09:15,180,241.02000000000407,09:30,1,50,100,100,20.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
