CR Data,CR Hora,CR Tamanho,Dist MME,CA Hora,Contratos,Offset,TP,Pontos,Valor,Cod Status,Status
2021-11-01,09:40,205,276.13000000000466,09:55,1,50,20,20,4.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-01,10:00,200,406.4100000000035,10:05,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-01,11:20,230,296.7899999999936,11:30,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-01,11:35,250,283.6900000000023,11:45,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-03,09:00,355,770.8500000000058,09:25,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-03,10:40,240,436.0500000000029,10:45,1,50,20,20,4.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,11:35,225,315.5899999999965,11:40,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-03,11:45,265,366.41999999999825,11:50,1,50,20,20,4.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,11:55,305,262.50999999999476,12:00,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-03,12:35,415,481.8000000000029,12:40,1,50,20,20,4.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,12:45,340,776.4499999999971,12:50,1,50,20,20,4.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,12:55,255,858.6699999999983,13:00,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,10:20,245,307.5399999999936,10:25,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,10:30,215,391.5599999999977,10:40,1,50,20,20,4.0,4,Mais provável que pagou para cima
2021-11-04,10:45,205,510.36999999999534,10:50,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,11:00,395,327.1999999999971,11:25,1,50,20,-495,-99.0,1,Estopou
2021-11-04,12:00,230,326.02999999999884,12:10,1,50,20,20,4.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-04,12:15,215,341.8999999999942,12:25,1,50,20,20,4.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,12:30,220,271.8999999999942,12:35,1,50,20,20,4.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-05,09:35,225,411.11999999999534,09:50,1,50,20,-325,-65.0,1,Estopou
