CR Data,CR Hora,CR Tamanho,Dist MME,CA Hora,Contratos,Offset,TP,Pontos,Valor,Cod Status,Status
2021-11-01,10:00,200,406.4100000000035,10:25,1,50,470,470,94.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-01,10:55,305,88.99000000000524,11:05,1,50,470,-405,-81.0,1,Estopou
2021-11-01,11:10,305,184.77000000000407,11:50,1,50,470,-405,-81.0,1,Estopou
2021-11-01,12:40,175,121.41999999999825,13:45,1,50,470,470,94.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,10:00,190,224.22999999999593,10:10,1,50,470,-290,-58.0,1,Estopou
2021-11-03,10:35,560,106.14999999999418,11:00,1,50,470,-660,-132.0,1,Estopou
2021-11-03,11:25,250,181.13000000000466,12:00,1,50,470,-350,-70.0,1,Estopou
2021-11-03,12:15,275,111.30999999999767,12:30,1,50,470,-375,-75.0,1,Estopou
2021-11-03,12:35,415,481.8000000000029,12:50,1,50,470,470,94.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,12:55,255,858.6699999999983,13:35,1,50,470,470,94.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,10:05,175,328.4400000000023,10:15,1,50,470,-275,-55.0,7,Mais provável que estopou para baixo
2021-11-04,10:20,245,307.5399999999936,10:50,1,50,470,470,94.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,10:55,350,206.41999999999825,11:30,1,50,470,-450,-90.0,1,Estopou
2021-11-04,11:45,230,141.9499999999971,12:25,1,50,470,470,94.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,12:30,220,271.8999999999942,13:25,1,50,470,-320,-64.0,1,Estopou
2021-11-05,10:00,205,259.9499999999971,10:40,1,50,470,470,94.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-05,10:45,125,564.320000000007,11:15,1,50,470,-225,-45.0,1,Estopou
2021-11-05,12:10,200,117.16000000000349,13:10,1,50,470,-300,-60.0,1,Estopou
2021-11-08,10:00,225,166.83000000000175,10:15,1,50,470,470,94.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-08,10:45,205,51.83999999999651,11:35,1,50,470,470,94.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-08,11:40,215,601.7100000000064,12:00,1,50,470,-315,-63.0,1,Estopou
2021-11-08,12:05,140,197.39999999999418,12:25,1,50,470,-240,-48.0,1,Estopou
2021-11-09,10:10,315,57.14999999999418,10:35,1,50,470,470,94.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
