CR Data,CR Hora,CR Tamanho,Dist MME,CA Hora,Contratos,Offset,TP,Pontos,Valor,Cod Status,Status
2021-11-01,10:30,455,0,11:05,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,10:30,315,0,10:35,1,50,250,250,50.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,10:30,215,391.5599999999977,10:40,1,50,250,-315,-63.0,7,Mais provável que estopou para baixo
2021-11-05,10:30,245,385.0899999999965,10:50,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-08,10:30,250,0,10:35,1,50,250,-350,-70.0,6,Mais provável que estopou para cima
2021-11-09,10:30,485,163.00999999999476,10:45,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-11,10:30,230,356.5200000000041,11:05,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-12,10:30,425,0,10:50,1,50,250,-525,-105.0,1,Estopou
2021-11-16,10:30,270,317.2299999999959,10:40,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-17,10:30,310,0,10:35,1,50,250,250,50.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-19,10:30,400,0,10:40,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-22,10:30,330,72.4600000000064,10:55,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-23,10:30,395,0,10:50,1,50,250,-495,-99.0,1,Estopou
2021-11-24,10:30,315,0,10:35,1,50,250,250,50.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-25,10:30,195,0,10:45,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-29,10:30,225,0,10:40,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-30,10:30,400,32.88999999999942,10:40,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-02,10:30,345,449.08000000000175,10:55,1,50,250,250,50.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-03,10:30,425,0,10:45,1,50,250,250,50.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-06,10:30,465,225.85000000000582,10:35,1,50,250,250,50.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-09,10:30,205,361.570000000007,11:05,1,50,250,-305,-61.0,1,Estopou
2021-08-10,10:30,310,0,10:55,1,50,250,-410,-82.0,1,Estopou
2021-08-11,10:30,470,238.27000000000407,11:10,1,50,250,250,50.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-12,10:30,150,289.3399999999965,11:20,1,50,250,250,50.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
